id;flavour_RU;flavour_EN
Curse3;С людьми и животными случается все больше несчастных случаев. Люди шепчутся, что это всё вы и ваш кот.
Healing3;Деревенские благодарны вам за лечение и разносят вести о вас до самых дальних деревень.
Healing5;Люди  из крупнах городов стали приезжать в вашу глушь ли за тем, чтобы вы исцелили их.
Placebo3;По округе ходят слухи, что вы просто травница.
Poison3;Люди беспокоятся, что стало много случаев странных смертей.
Poison5;Смертей становится больше и больше. Вместе с ними - страха и недовольства.
Chameleon4;В деревне все чаще загадочным образом пропадают вещи. И люди.
Love3;Уже несколько счастливых браков разрушилось — поговаривают, что это ваша вина.
Memory3;Говорят, один парень забыл сегодня дома свою голову.
Laughter3;Вокруг слышно много смеха, и жизнь все веселее.
Laughter5;В деревне похороны. Один из уважаемых людей умер от смеха.
Placebo5;Народ считает, что вы просто наливаете подкрашенную воду в бутылки.
Sleep3;Один мужик заснул на телеге и проснулся в другом городе.
Strength3;В кабаке случилась драка, и один мужик нечаянно сломал другому все ребра.
Voice3;В деревне появилась труппа бродячих артистов во главе с коровой.
Beauty3;Красота местных селянок (и коров) гремит на весь свет.
